"line","YDHPL","PLHA","DF","SW100","TSW","POM"
"DAB_065",859.021531455159,41.6073205927978,31.6150768889781,35.4782333299786,202.460082825368,9.56471938141117
"DAB_066",760.05900333875,32.707051007656,32.7232000919454,35.5882081201387,142.997232592704,8.2553812660752
"DAB_084",917.3943378688,49.8790449586191,30.8576746253282,31.6808842013033,256.627982052107,11.9554799904255
"DAB_106",1043.74692275574,30.1707895599574,31.5817510611509,33.0932584795383,217.819962194159,8.85611675105262
"DAB_187",810.280536557026,60.6472055251117,30.8269416505372,25.0757689084233,253.93691107602,10.4577153139974
"DAB_231",724.516441442013,48.3497121494161,30.4612405780184,38.0136328919631,197.392037162583,9.00839518262834
"DAB_233",779.799932615219,60.6150174201302,30.7629089815914,36.6007480814382,269.723213981963,10.323945467185
"DAB_244",817.668393915781,58.3985216038173,30.3642329144305,34.7975022485435,276.828618767603,10.6352798008776
"DAB_251",858.333940985775,48.3775812399793,30.9390941985386,32.6802691531266,243.884525417672,9.22103861038351
"DAB_252",823.95839447704,41.2305854310435,31.1629169007872,35.2469071649436,191.765475041002,9.30116000351413
"DAB_267",843.773450091973,52.2169899807548,30.3537071197887,35.0864128974977,241.655331331848,10.4585074630823
"DAB_277",809.862553721882,49.9276627492805,29.8765192201892,34.1137564475667,222.129077319165,10.0167389183249
"DAB_295",871.710315020585,61.335288133888,30.9215722664443,36.4301925212426,317.135678451479,10.6313817002563
"DAB_302",839.078710521354,52.0647708633698,30.6869315794643,40.4861119328336,241.417946113691,11.271774234471
"DAB_317",854.004745253982,41.3491025338397,30.4179878020835,33.6387619169121,206.694001552002,9.22660763487366
"DAB_344",850.437191188672,49.7727552913519,30.2244654168126,31.3711397189068,226.156282566833,10.5345981905869
"DAB_366",1068.74905313318,57.0795720380465,30.7991204423615,34.7816550772266,328.107067536102,11.1914719953566
"DAB_374",870.075734352518,55.5077237218839,29.9945650828278,32.9998349167629,277.822740132392,9.91251856002632
"DAB_380",770.186047723904,38.4696542201882,30.6869046144448,34.0842616502289,161.733322212623,7.62618844483644
"DAB_396",943.246116369838,55.6656848483535,31.4829066378121,32.0348355179146,317.59491765423,10.9745868090206
"DAB_398",821.722335257469,36.6155125461505,30.3516657909741,34.3199045034531,181.335533062074,8.10612137578701
"DAB_402",821.998838484733,48.2906444874903,31.1840823476437,39.1545430043674,223.952870307042,9.74122930037816
"DAB_441",813.070673317663,48.552195274201,30.3043323152909,36.2791699137742,219.792296639737,10.7118352171455
"DAB_489",909.443612998915,58.0173494313761,30.2687572158081,33.1694350969431,321.857220483149,10.7141622575818
"DAB_494",1012.7328415166,54.0323806681414,30.3577383781789,35.6240620533977,312.682360056451,10.4986277194873
"DAB_514",860.623568840522,50.5578120931537,30.1831835566993,35.2415656744952,236.469238997263,9.96398527398943
"DAB_520",775.304732484546,48.6723641028853,30.1879640980362,32.7748640860768,215.676505508209,10.9309077962043
"DAB_525",841.294207223057,54.4298211670433,30.1428698866379,34.6161162406276,267.232339786939,10.430813700789
"DAB_534",838.0777232186,48.9705954785374,30.3554974996097,35.0362459241887,201.994710029986,10.7227550039969
"DAB_545",852.838916040643,55.5528321046739,29.9509074698783,33.1192140057701,281.385524568257,10.3502269655404
"DAB_549",849.331082953387,50.9149805237527,29.8120428699942,31.4326720656722,228.844792988438,11.1732568749687
"DAB_555",862.018001702611,53.1660004435065,30.0347987752254,31.1046190431905,242.686212172281,10.3344392250525
"DAB_568",721.823201822093,53.3641696334688,31.2372674694578,35.7399081138264,194.401936955412,11.0431141278239
"DAB_569",763.723190566272,40.7164627273877,31.6128659056522,32.8684966513845,164.404857187098,7.97605665162993
"DAB_571",825.473732515591,26.7063909456792,33.3965575024527,35.7311972176306,144.747760010408,6.75208460399742
"DAB_573",887.076074802162,49.8334793991599,32.4037438605948,33.4836669444568,266.089703417119,9.45766764404345
"DAB_576",720.181097433537,44.0282667871625,30.8560142228701,39.2712310785768,163.661096875916,8.44158111605348
"DAB_577",840.388844824366,49.7893968375702,30.299654490095,41.9029494877972,229.066221174407,8.72995328631389
"DAB_579",797.109327510037,47.7118160321632,31.6895072316249,37.523650728462,203.459502416032,9.61163141411301
"DAB_580",882.414549513409,36.7040884594333,33.6125353628914,37.6618165123097,175.71315691509,9.53480977092314
"DAB_583",650.758039619429,51.6529441283894,30.2074735924298,33.4345801685383,159.896061253632,8.75085142581593
"DAB_585",722.363813246326,40.7371168280482,30.9217869944125,32.4605607047354,166.898607185971,10.8095074987723
"DAB_587",838.505024594911,59.9618765486845,30.5241087000544,31.1815947399811,295.746646177904,10.6455237591464
"DAB_588",799.966493153575,40.8238855998989,32.254950822536,27.7022842959272,181.169911228379,10.2849731914466
"DAB_591",797.201525717091,49.0992756378387,30.7225907505837,32.1993598864241,217.449773351255,10.322531200295
"DAB_593",901.852640417702,50.4168479783942,30.4025674752697,35.6314176431612,269.251212689975,10.1821119726847
"DAB_594",782.962576814839,39.7547610114613,30.8471646827766,32.1972858332109,175.99329392958,8.90287926629355
"DAB_596",780.904902995927,46.2006263377587,31.1310389299136,32.3355472942723,230.704902101821,7.61874217048566
"DAB_597",915.292012729437,42.4429860867697,31.0196848881661,33.755994518063,217.575434337028,9.7106156964183
"DAB_598",871.817324432422,57.8268726522961,31.558596051832,35.2863229091459,268.07024201385,10.0155876473017
"DAB_604",880.150341587369,56.2527348122985,31.0135279946026,35.6570904165532,265.854623461183,10.855561909903
"DAB_605",864.980218133158,40.3823193966227,31.6071179752319,35.8726088538059,224.310638614017,9.06106330670274
"DAB_610",749.166348926734,35.8238229289465,33.4319036782682,39.096519067649,165.682389634579,7.31724826127651
"DAB_614",863.346969605638,52.7565070546252,30.1456606887982,32.6176403589334,263.037864573606,11.180652733811
"DAB_615",785.624621486341,65.2298541451294,30.0931422680729,33.5753113646159,268.547228433005,9.99063745841125
"DAB_616",930.092953795049,31.2049360314797,NA,35.002655934528,172.325970156079,7.50561829149863
"DAB_617",776.416582783897,49.8215100053742,30.5243114389468,32.009504021322,201.641241977642,9.49413332018798
"DAB_621",961.10902766998,48.3710858116679,30.950431734836,33.7781265819186,272.747352492628,8.80712106451298
"DAB_622",828.284290108273,49.1187903582718,30.4205152902398,33.2564324840333,234.429793810698,10.5420373953886
"DAB_624",909.691563172796,42.038654889606,31.0564398457592,34.5387479221196,208.399377135726,9.46244130144354
"DAB_625",764.554932132715,41.804438499845,30.5434855908654,32.5607067054249,164.286377678138,8.92367501385958
"DAB_628",895.236190824725,48.4322772388664,30.5742646282348,34.8403292968011,251.256047301179,9.11896432184677
"DAB_629",820.506689370559,45.8913264220476,30.592057256348,33.2848097624157,211.656233356594,9.0833604319689
"DAB_630",738.560857263028,44.1676348250703,31.0961425550985,33.0723752941509,170.527655183915,9.17954583052538
"DAB_900",865.989296729274,60.6573949097681,31.0434182026248,31.2918724738736,295.136648598752,9.64181875690986
"DAB_902",775.092607963503,57.2503538720714,31.9716770649227,30.5220635251516,236.310674732996,10.5113280413867
"DAB_903",906.825958241902,63.4428966628811,31.0972010896493,33.7745130985929,345.031665738995,11.0219354625744
"DAB_906",846.078981586218,50.1194215488604,29.321886719033,30.8050072704494,224.935944459568,10.1256048402514
"DAB_910",846.163750028442,57.7854720487371,31.6540637141435,33.2336359545143,268.890481490397,10.6847153670399
"DAB_912",886.441836596356,71.1458908703421,30.4533406130618,35.7780487850543,381.20248720077,10.3052193493544
"DAB_915",862.579856706485,53.0920785140723,29.6405978542974,31.7615896736407,263.018512489844,10.2654046809401
"DAB_925",705.524756440158,71.8324800915816,29.7629086333982,34.7968552588674,224.966647573555,10.4473960757455
"DAB_926",938.197569469205,49.0452241956585,30.586783359856,31.7937432016763,307.136462599631,8.8448422728815
"DAB_928",770.717110094358,67.2832017521195,30.3623361440382,30.523039968163,250.825692787225,12.5462586954646
"DAB_929",742.24246629094,59.4422956383893,29.3771302590017,36.0200533281496,234.336454728197,10.1748323653338
"DAB_930",817.039576050174,50.8259402406605,29.0653629147788,35.6967110388124,241.892796230631,10.6939058840143
"DAB_932",734.488659006112,62.901584586782,29.1777758382217,36.7615827918614,226.349030112928,11.4064978667988
"DAB_933",902.042607044173,43.7995587099218,30.1600217539954,31.238964742941,229.267963294035,8.78872033607511
"DAB_934",978.193001735667,50.5002373637609,30.6580915894103,30.5796305475249,278.301829602315,9.04592165387465
"DAB_939",773.68251298319,64.7275716935608,29.8401635668454,33.5610710076631,248.529204739952,9.92610548253403
"DAB_940",740.669474573993,53.6000291780991,29.830316489187,29.3719836200379,186.56647735298,10.5510988914471
"DAN_005",814.021291400136,30.0928308562896,32.6287958485338,40.1474420840905,158.647728840893,6.63560055861502
"DAN_016",774.37133350543,58.4135774096612,30.1879038774622,37.8956968037727,235.567765577654,11.0724898116322
"DAN_022",1023.26080530764,40.8293788449394,30.489860935711,39.584428951498,255.817125034981,8.74457122114521
"DAN_029",792.162233744843,35.7455632806137,30.241933812169,31.2700836503136,144.499392604331,6.5958720489244
"DAN_034",734.209424699337,33.5665463776261,32.5440286212163,32.9252657993,131.815186332976,6.20502173173295
"DAN_035",717.134236119904,49.6734789418887,31.3419129713035,35.3345030890291,183.538010011988,9.74189172354468
"DAN_036",873.642340752873,24.310480989221,31.3193411033621,35.7760815043804,102.920918398335,7.66484374136998
"DAN_037",712.318058436198,38.2803358053882,31.5775101614379,40.9526474716577,132.340507538497,6.68978379270307
"DAN_038",826.148839010446,30.695588757483,30.8317440488816,36.9438192534073,117.67359987334,8.14637964049725
"DAN_039",1201.27424151491,12.0167909814878,31.0234615542089,28.1800640826676,79.1876994323664,5.06100900528657
"DAN_040",773.417086701026,41.3896735641611,31.2912459731573,34.6805927467875,171.292477095092,9.6111644280761
"DAN_041",693.379871235881,49.0270071929261,31.3990095794215,27.2494288310433,145.67509545041,8.11283626162082
"DAN_042",1029.65697022759,19.6038731905546,31.0664139918234,33.9939911671697,102.870607241244,5.78072586926498
"DAN_044",834.116381030676,43.3188428637483,31.9258098894378,36.7616352134631,196.219497250389,10.203254319082
"DAN_045",648.679411751347,11.4041733468562,NA,8.34247154348947,43.9900959933222,2.22426576473596
"DAN_046",772.547463315137,22.4031149031,32.09240352004,35.3928988177984,86.7352329594063,5.78159535846555
"DAN_048",632.903105494257,50.0075224935372,31.3697591605581,33.7429631587219,135.39331256743,8.86063302666073
