"line","YDHPL","PLHA","SW100","TSW","POM"
"DAA_149",NA,NA,NA,NA,NA
"DAA_150",NA,NA,NA,NA,NA
"DAA_151",2235.42471946154,18.0710930044081,43.5446646245341,236.531273993623,12.6824553151742
"DAA_152",NA,NA,NA,NA,NA
"DAA_153",2133.83350306503,20.6400660966045,35.3910440638809,238.893326742076,12.5030358968089
"DAA_154",2033.51322957053,27.0427110823117,39.5294678020902,298.720933119324,13.2234652582879
"DAA_155",1780.78145376149,29.8761102528888,40.6977494561076,263.157737111325,13.073377019435
"DAA_159",2485.84063381388,21.0262889378837,43.157722093521,305.510863658244,13.4994592057907
"DAA_164",1526.25203447118,19.1713732436694,41.262826255178,121.516123131576,12.603240741238
"DAA_166",2538.23746011748,15.913761817691,43.8198059292274,200.524044905449,12.4937546580816
"DAA_173",2149.68671881369,27.9507504743988,37.7647080336888,350.496674693388,13.2082402627023
"DAA_175",1918.65169606583,24.8079500579551,33.6272506745625,264.791323570515,13.1449619321976
"DAA_178",NA,NA,NA,NA,NA
"DAA_179",NA,NA,NA,NA,NA
"DAA_180",NA,NA,NA,NA,NA
"DAA_181",NA,NA,NA,NA,NA
"DAA_182",NA,NA,NA,NA,NA
"DAA_183",NA,NA,NA,NA,NA
"DAA_184",NA,NA,NA,NA,NA
"DAA_185",NA,NA,NA,NA,NA
"DAA_186",NA,NA,NA,NA,NA
"DAA_187",NA,NA,NA,NA,NA
"DAA_188",NA,NA,NA,NA,NA
"DAA_189",NA,NA,NA,NA,NA
"DAA_190",NA,NA,NA,NA,NA
"DAA_191",NA,NA,NA,NA,NA
"DAA_192",NA,NA,NA,NA,NA
"DAA_193",NA,NA,NA,NA,NA
"DAA_194",NA,NA,NA,NA,NA
"DAA_195",NA,NA,NA,NA,NA
"DAA_196",NA,NA,NA,NA,NA
"DAA_197",NA,NA,NA,NA,NA
"DAA_198",NA,NA,NA,NA,NA
"DAA_199",NA,NA,NA,NA,NA
"DAA_200",NA,NA,NA,NA,NA
"DAA_201",NA,NA,NA,NA,NA
"DAA_203",NA,NA,NA,NA,NA
"DAA_205",NA,NA,NA,NA,NA
"DAA_206",NA,NA,NA,NA,NA
"DAA_207",NA,NA,NA,NA,NA
"DAA_208",NA,NA,NA,NA,NA
"DAA_209",NA,NA,NA,NA,NA
"DAA_210",NA,NA,NA,NA,NA
"DAA_211",NA,NA,NA,NA,NA
"DAA_212",NA,NA,NA,NA,NA
"DAA_213",NA,NA,NA,NA,NA
"DAA_214",NA,NA,NA,NA,NA
"DAA_215",NA,NA,NA,NA,NA
"DAA_216",NA,NA,NA,NA,NA
"DAA_217",NA,NA,NA,NA,NA
"DAA_218",NA,NA,NA,NA,NA
"DAA_221",NA,NA,NA,NA,NA
"DAB_001",NA,NA,NA,NA,NA
"DAB_049",2320.92489303462,35.6698245162924,26.5109957510386,513.953848541207,13.0607747438161
"DAB_052",2193.05723566074,33.5357064991428,25.9631917283321,429.012547945485,13.2805656310524
"DAB_053",1875.57750517051,28.7687504949394,41.1382169299897,272.465673377823,13.146217970612
"DAB_062",2032.38209059169,25.8262757323354,37.2104614808488,294.646120534251,13.2570402525405
"DAB_064",2378.84789837145,24.5581182648666,37.7061532638446,347.934868996321,13.517029189346
"DAB_065",2297.79765830186,23.1661186800626,35.0965332032855,283.394561794984,13.2303226489496
"DAB_066",2266.1481886493,27.0355826237524,37.8137021172626,328.946121129307,12.855817049045
"DAB_084",2075.4784620573,28.9177972440213,33.3926238139134,332.126287466107,13.7900917043323
"DAB_090",1842.46971876083,31.31150374485,31.6211383571568,303.169951907372,14.2152862404798
"DAB_096",NA,NA,NA,NA,NA
"DAB_105",2119.63605244779,23.367672191081,32.3337414004241,276.805428998002,13.016529891633
"DAB_106",2801.86971173121,13.3441629587482,32.9107639723148,209.756531630675,13.2674220799916
"DAB_107",NA,NA,NA,NA,NA
"DAB_109",1906.26970286283,26.425629512489,37.388850068627,284.303801413739,13.0668524057625
"DAB_150",1956.88555235594,24.6753811959774,31.3729591405319,272.460109038027,14.0037360883648
"DAB_158",NA,NA,NA,NA,NA
"DAB_159",NA,NA,NA,NA,NA
"DAB_187",2255.66792042936,23.7682788200707,28.9031915014412,296.154304817039,13.9192717234861
"DAB_231",2529.7972552671,27.2369538622802,36.7146140973189,399.978891849472,12.4790640898892
"DAB_233",2639.6491390202,17.81049249131,37.9037652699714,255.896378481603,13.2905800108372
"DAB_236",1934.1263641681,35.3641707048413,34.804986659687,352.018485951992,13.015887577374
"DAB_244",2601.9544194996,17.9034094699327,34.9497341208829,247.106444396861,12.9620562091705
"DAB_251",2856.35184171171,22.2399281568011,33.9072996952862,339.847476621906,12.5753127984043
"DAB_252",2483.90551085039,15.0857059858115,35.3132256396737,222.314862361042,12.4982100368681
"DAB_256",2288.56543500226,23.3558517420914,39.1606098016889,301.036186098123,12.8697312344756
"DAB_258",2163.77997901187,21.0961480245443,31.9342285085402,266.497461519269,13.0080881679519
"DAB_267",2442.03941425449,15.7070906261161,38.6385886960473,203.178547364387,12.6727052213588
"DAB_277",2121.91366108804,31.0544224248566,37.3230800452469,379.642056485758,13.8028332330923
"DAB_295",3104.15858770591,21.9033084799654,41.3291353378142,359.046784032113,12.5728514875859
"DAB_302",2446.15747896178,26.8470254631314,39.022270544801,379.827276117307,13.7955378984038
"DAB_317",2467.39403281544,22.0424286228466,38.0331218639432,314.595165864228,13.5060129479159
"DAB_344",2198.17673021352,19.4603032530192,34.1612880291954,236.238906898791,13.0394285583443
"DAB_353",2003.42160397695,24.2332437441993,32.6999514303103,244.548619025239,13.2105534954795
"DAB_366",2606.62693888147,18.4787359565717,36.5093270110785,260.628744023579,13.0528747418079
"DAB_374",2715.11439893127,11.6447464132227,35.7203682622107,133.091056750535,12.7405164869172
"DAB_380",2696.28390600251,19.1263972438132,39.3711639044077,299.520773672939,12.1117012457322
"DAB_384",2410.97683259304,18.9511109143844,33.1970895103337,245.047999832863,13.8018703687957
"DAB_396",2896.90253131926,22.2433755011311,36.5064393307636,352.478300333283,13.3456723276709
"DAB_398",2639.10925551586,14.8425312394801,32.2199434049996,231.254602471623,13.3350958081177
"DAB_402",2249.50662320842,24.4613975575358,38.6859412120095,316.988083836207,13.2270111681247
"DAB_441",2628.47881965675,20.3231070145168,40.5903789486824,282.722645329255,13.2942652668962
"DAB_489",2755.81647145593,15.3518770144561,35.2502161409911,258.032639903776,13.3804492297542
"DAB_494",2632.16021570192,24.3513213067058,38.0067816418758,377.061803903768,13.3833808701192
"DAB_514",2611.59386710558,22.0714636658125,41.5487541155292,353.279706565182,13.1671205244834
"DAB_520",2493.20388154255,21.2713600310291,35.1887243949716,296.730850755932,13.0833377036548
"DAB_525",2358.09681816059,18.0153230461964,37.5388983630724,244.45357947709,13.2598793394935
"DAB_528",2553.57563413608,14.103617875243,37.5581727994804,190.958905066127,13.0016623594854
