"line","DPM","DF","PLHA","YDHA","YDHPL"
"DAB_514",60.1429490498839,32.2254460538598,33.7273460363278,2176.85842395744,2040.95470987552
"DAB_520",63.1495115718527,31.7320166802787,31.8908844337886,1738.25058754132,1590.65657428899
"DAB_525",61.2019922158384,31.1132362937702,28.3265269035111,2293.75866289706,2141.78295975648
"DAB_528",62.347171233709,32.0458490352206,29.6396896435408,2296.17559667646,2198.11387125697
"DAB_534",61.8950874180803,31.9051228136066,34.548784196299,2254.8918376737,2035.86400743714
"DAB_541",62.068005549696,31.172748573408,37.9621061419944,2228.76151072588,1837.0741740075
"DAB_545",62.195957782833,31.3240121981681,34.8098639433874,1972.9152122372,1755.20448804228
"DAB_549",61.32216594639,31.0259017254574,32.6378507840233,2357.74377316847,2043.24363628732
"DAB_555",62.68379235049,31.4653054980945,34.2924284008552,2386.85763269219,2212.9932992089
"DAB_583",64.5092786634472,31.8817809680288,29.2389919396806,1687.35840324358,1628.85357465052
"DAB_587",62.4759424674335,31.7093031443963,35.5655580010689,2010.56703490874,1781.69203000684
"DAB_588",65.1288850788485,33.2349360110583,33.0956630493163,2082.26164787643,1886.19282621929
"DAB_590",60.5245947402398,32.6510899497413,29.5374391274041,1668.06573099537,1756.73529594213
"DAB_592",62.9240645841513,32.9707222608835,31.2937945179633,2061.9760520752,2015.59026966845
"DAB_593",62.3955686696921,32.1776011219396,36.5385793665516,2184.72844918733,1862.52324628374
"DAB_594",63.8036302743964,32.5146392490441,34.6265530988993,2309.28958671627,1898.77748369624
