"line","YDHPL","YDHA","PLHA","DF","TSW"
"DAB_090",1551.11707117584,2520.48914594057,28.1596252701509,37.9526805914834,235.507204737456
"DAB_105",1713.65479106,2657.59693698645,28.0628419816189,38.6649088783376,249.46003057562
"DAB_106",1744.02247959274,2594.14080218246,28.0524236940959,38.081170561889,242.543555618613
"DAB_109",1650.58978350982,2392.2884985767,28.0381329025387,38.4339005757377,222.883216237095
"DAB_150",1509.11484295041,2276.6505059578,28.1173832404057,38.1499407323173,212.388099684337
"DAB_187",1440.45218217641,1877.43121504197,28.0013535515592,38.2826147469038,174.560322256702
"DAB_231",1444.33113510264,2054.36856917754,28.0723855318795,38.0362368344434,191.028700383131
"DAB_233",1481.35315696605,2033.8554461934,28.0149552443843,37.9970479332378,189.03634444767
"DAB_236",1431.02983066472,1956.66781307593,28.0295912512809,38.1883570487501,182.361441235142
"DAB_244",1437.07583451396,1973.28590105177,28.0255367267375,38.4148434437334,183.576746312901
"DAB_251",1624.59184063289,2447.2027773589,28.165329531033,38.0467775785738,229.396803088516
"DAB_252",1445.74201603214,2070.99402433261,28.0929431021771,38.2467731446884,194.083242701194
"DAB_256",1475.90776468041,2151.14265725032,28.1080340097317,38.0477915804603,201.1801646988
"DAB_258",1506.18712704572,2123.12020003468,28.0527977905676,38.1303031880945,198.107761448985
"DAB_267",1520.39021673423,2152.35257612281,28.0588704475402,37.8507009860426,201.80624988573
"DAB_277",1384.50647856463,2014.81044185117,28.0821114785567,38.3637182008886,188.5027878473
"DAB_295",1814.53641796953,2244.29455721181,27.8767247273565,37.8033011139037,209.595958254751
"DAB_302",1576.02607223949,2147.32990388471,27.98759348212,37.991100539117,201.175218117044
"DAB_317",1749.75681021429,2530.25663904434,27.9900320759329,38.1064360117719,236.785825742739
"DAB_344",1719.26412153665,2407.28764150526,27.9826769585716,37.8657672672551,224.028226460623
"DAB_353",1348.62934080894,1785.09373821469,28.0223487097921,37.5198038488999,166.514571678483
"DAB_366",1674.57099169634,2371.11145804182,28.1514512069391,37.9209018402919,220.622969975757
"DAB_374",1912.91223433719,2902.72688102095,28.0033335008054,37.6198403003745,270.672433935718
"DAB_380",1349.70667783293,1785.83827824744,28.0180621842573,38.180616349694,165.682484450557
"DAB_384",1538.07773307213,2236.88082195289,28.0574640768255,38.3056877617359,208.960791769276
"DAB_396",1570.76524270241,2467.60448012,28.1272855785008,37.4504317787909,229.667358525013
"DAB_398",1581.35526578962,2332.11205207685,28.0672701208477,38.7967823785177,218.12000529527
"DAB_402",1626.95241484101,2182.09921638146,27.9975439918906,38.3261851448617,203.463641677938
"DAB_441",1348.7266305006,2235.12995068645,28.2158994383616,37.9202267635349,208.649592593812
"DAB_489",1773.74325694887,2643.83571762626,28.0398668694548,37.9490517831656,245.997205472776
"DAB_494",2007.62030589832,2493.00165950917,27.9160177232536,37.8711613292874,232.938347591112
"DAB_514",1760.70984771062,2626.16752688013,28.028254740835,37.7634253627006,244.700280417534
"DAB_520",1728.50115338916,2587.40836618861,28.0581316372355,37.8228390081161,241.016435873374
"DAB_525",1344.98158033588,1947.96699137436,28.115052832684,37.6596568022553,181.838991944672
"DAB_528",1301.00719822504,1777.32006196767,28.0807230687268,37.6999668685108,166.171380493127
"DAB_534",1514.5184379254,2013.11487102003,27.9722682966982,38.2165109855794,187.419640166447
"DAB_541",1467.30276755795,2213.00568321112,28.1518338237804,37.8666525919213,206.158614240947
"DAB_545",1742.95535311709,2205.17704751911,27.9299639995597,37.4478419255384,206.19001088688
"DAB_549",1557.65780537327,2341.23607733334,28.0998990622102,36.6352345100259,218.373315389833
"DAB_555",1500.49360760636,2152.08170602647,28.0816648998672,37.4682140039936,200.328491503038
"DAB_568",1645.34323125228,2413.72884648372,28.0432371119741,38.6950152008058,225.082688766327
"DAB_569",1697.14146997963,2488.02106447341,28.0418841021065,38.2596520828791,231.951358102723
"DAB_570",1649.3853954065,2486.57665506844,28.0708090074364,38.2954599119593,231.54839443983
"DAB_571",1750.39708935547,2481.05904857408,28.0175821804237,38.9374426725265,231.437452043646
"DAB_572",1430.22857496304,2152.27278678863,28.0890443351306,38.0331376935671,201.19196582137
"DAB_573",1803.70939592143,2783.47333240062,28.0433473860949,38.5382609609563,258.383157305412
"DAB_574",1358.87889070009,1699.51793150045,28.0485927978181,39.2759173176404,158.868072876562
"DAB_575",1586.34412167283,2092.57108934577,28.0709465356444,39.1250084416529,196.252611139439
"DAB_576",1512.65103071817,2224.96929689637,28.054176633206,39.1334796792353,207.326584715445
"DAB_577",1605.20074608,2159.23645522989,27.9576908647811,37.7750211472129,200.932825338709
"DAB_578",1406.12422862251,1926.85092023553,28.030032085234,38.4669607306394,178.714152100892
"DAB_579",1466.22329212153,2343.63095720048,28.0893400372844,38.377375338605,217.766566983376
"DAB_580",1342.90169437968,1800.86781951535,28.0747630196832,38.9787623692783,167.641442129702
"DAB_581",1386.12144065343,1934.35368148797,28.0674820570627,38.4549890713593,179.497906032585
"DAB_583",1428.70948131923,1892.74570680959,28.0151605539018,37.1942955189633,176.272183882004
"DAB_584",1381.63078251844,1963.70680144432,28.1242477863219,NA,183.068972286932
"DAB_585",1523.24364660233,2044.36854895739,28.0435745893013,38.474981182898,188.927440906023
"DAB_586",1392.57365978914,1885.91949662706,28.0354235796183,38.0871614685928,175.963698813945
"DAB_587",1677.30794411065,2571.33832661978,28.0818500336317,37.1974258457144,239.97054855252
"DAB_588",1346.38400339956,2031.26577640661,28.1162960724562,38.551400165688,188.344759472351
"DAB_589",1690.46482283133,2456.49934496081,28.0119155474546,37.571517331074,229.084577859393
"DAB_591",1527.02452407627,2599.80856713195,28.1427376356461,37.30657078026,242.295597711484
"DAB_592",1298.79680460426,1767.99438168894,28.0617846777684,37.9463382979075,165.186750575942
"DAB_593",1751.83205762453,2689.17289824469,28.0684947229942,37.7063377412405,251.89214020329
"DAB_594",1723.18916336399,2418.2211202755,27.9897810289989,38.1083191330363,224.811518284289
"DAB_596",1602.85487575102,2419.43560587882,28.0576911109077,37.5216333548,226.103382594995
"DAB_597",1857.94981244805,2492.54017248568,27.9453926439369,37.2324885907611,232.874887050502
"DAB_598",1682.69176311659,2325.63135717512,27.9980520198564,37.1995611195477,216.989879074939
"DAB_600",1657.33454914832,2273.17620349727,27.9984641250305,38.7925422900292,211.385631403973
"DAB_602",1236.59995337235,1641.25942784287,28.0413300791563,38.0531575541687,151.97048668056
"DAB_603",1555.83565243996,2185.21797511107,28.0428566007328,39.2407278521208,203.663714192029
"DAB_604",1696.56081396141,2325.41201537305,27.9863338518681,37.7023251340085,216.84308700125
"DAB_605",1655.6289480144,2414.2405356814,28.0349710637392,38.6373726150983,224.260192484027
"DAB_606",1553.86404232239,2137.93496011027,28.0124319666867,38.8645176759939,199.019252003845
"DAB_607",1410.55579098059,1979.93729172314,28.0850764858957,38.7603788949678,184.248175230404
"DAB_609",1481.76473536936,1921.52544753623,27.9873048400474,38.1530740471812,178.923129977405
"DAB_610",1310.58268960172,1688.40984199161,28.0432257568506,NA,157.919696121727
"DAB_612",1310.39285714803,1825.46232363244,28.1340875360589,39.0169457474745,169.33585032526
"DAB_614",1526.60479290469,2144.86532528783,28.0276001188865,37.2447900024712,200.189293398297
"DAB_615",1556.55035512988,2311.26428588869,28.1248944383607,37.541627508852,215.540786988695
"DAB_616",1845.60234212449,2677.95509524228,27.9877663879813,38.8779543616318,249.501579074961
"DAB_617",1649.36733725212,2426.96814498644,28.0452597833454,37.5110955912201,226.419851504309
"DAB_619",1816.57286338417,2475.25454790903,27.9620778709049,38.0797639318395,231.12686111846
"DAB_621",1747.12247208029,2563.13979267327,28.0170654251372,38.1471060598829,237.889388425483
"DAB_622",1845.73982931332,2670.51839515774,27.9756896055646,38.365654744571,249.100889679516
"DAB_624",1723.8677729519,2520.77806688813,28.0074557362262,38.1095267923853,235.593972018064
"DAB_625",1581.18570721438,2464.45832409714,28.1086188433998,38.19808174694,229.642512098106
"DAB_628",1891.92964481277,2714.56991726318,28.0093282847127,38.4633234701889,253.806158770402
"DAB_629",1683.11658822063,2401.80008256166,28.0124116473908,37.9757370057398,223.766392159798
"DAB_630",1711.28102725893,2636.22944394307,28.0673156589338,37.9417000438234,245.906094811689
"DAB_633",1635.82282730857,2174.48976945,27.9851453809027,38.4348688818414,203.624959375281
"DAB_900",1727.91469584222,2487.97193561651,28.0186866560444,38.0589403667264,232.627602502712
"DAB_901",1452.85626487151,1950.01345469998,28.0208586560993,38.267107082421,181.712168424285
"DAB_902",1362.8993708002,1961.83585232093,28.1059306092162,38.0807012259494,183.334106425892
"DAB_903",1460.69179570863,2092.01542091736,28.0631611180539,37.5778138947408,195.367637199722
"DAB_904",1479.31192502499,2122.6676442904,28.0671028311067,37.8500767036913,198.192410652627
"DAB_905",1369.61770300465,1741.14200580053,27.9879059138125,38.29040890292,162.356792618306
"DAB_906",1753.45107908339,2631.47803702909,28.0532852703452,38.0324765356847,244.657655539309
"DAB_909",1489.56813734564,2076.63438369572,28.0466417733986,38.1234744257997,193.658064199865
"DAB_910",1333.22227297476,1780.32961766369,28.0703576996306,NA,166.118755867053
"DAB_912",1534.42282516167,2220.24100382721,28.0750892997122,38.3531582005004,207.411991328827
"DAB_913",1456.23621514875,1985.44789244029,28.0444019902785,37.5498912141645,184.913305023627
"DAB_914",1476.73870404254,2235.47710514454,28.098157624401,37.6413920595584,207.713328530564
"DAB_915",1447.31108971616,1970.6548310797,28.0291408509158,38.6582026579663,184.763550690057
"DAB_916",1548.65036404151,2025.96532974194,27.9829308974266,37.5171514366663,189.579339388498
"DAB_917",1282.81465434708,1692.38386040261,28.0370647512015,37.726444918327,157.412218882955
"DAB_919",1443.08407592523,1851.35001116854,28.0284237544682,37.8334180061351,173.725330128674
"DAB_920",1413.01397123285,1978.92492320826,28.1207831684374,38.1852111838058,183.949795017153
"DAB_921",1419.46924864122,1868.84005072787,28.0290520033115,37.746047149513,173.858028254319
"DAB_923",1446.22334107649,2041.41514472268,28.0477724761017,37.6805818573258,190.327116415304
"DAB_924",1470.45979176583,2327.51202086547,28.1414216162296,38.4117817124967,218.235765832595
"DAB_925",1508.41162899563,2171.51459963482,28.0927339695263,37.6668637535451,212.403480761876
"DAB_926",1413.55720110968,2011.6642294368,28.0561411356521,37.705851558489,187.057313226243
"DAB_927",1548.43116623268,2098.05211069414,28.0039276084389,38.32199664826,196.002280746781
"DAB_928",1691.38995634704,2520.47109475493,28.0243732982019,37.8771185076517,234.417754673151
"DAB_929",1643.85732455258,2553.23772102194,28.0903123264287,36.8901317641706,237.98572539929
"DAB_930",1564.22398707181,2284.46245862679,28.0757372345946,37.9091459571782,213.320058093154
"DAB_932",1481.97644756947,1945.20709093096,27.9887133741883,37.3569130524701,181.248990175453
"DAB_933",1496.35576102245,2155.23720333326,28.0661593452129,37.8642807847821,201.991638141236
"DAB_934",1309.11957290963,1927.12816680742,28.1137374163962,37.9809821749167,179.213530835204
"DAB_936",1306.18755991283,1890.6952409653,28.1388759236648,37.4652989809991,175.903628515324
"DAB_937",1419.439504607,2013.1135099477,28.0823963546582,36.9260517265975,187.34179000847
"DAB_938",1599.70745295508,2164.58997775635,27.9959510441501,37.913476883446,201.971466121056
"DAB_939",1595.70606847575,2408.76581118643,28.0841804233978,37.2809324732763,223.663111826467
"DAB_940",1593.81795942358,2371.17343699864,28.0529933126003,37.4537489650217,221.430733925843
"DAB_942",1523.52254334569,2253.7170694167,28.0800651666163,37.2978159694633,211.036129110664
"DAD_036",1190.43203845629,1570.50482475598,28.0791978624806,38.991884717781,145.923344551328
"DAN_001",1606.58576794752,2050.8887636791,27.9547367643041,37.99434327522,191.400224747156
"DAN_002",1550.78709138194,2041.72126574974,27.9889097363928,37.7226769613549,190.75424362879
"DAN_003",1306.73041441316,1698.08833685348,28.025657575571,38.3559376299375,158.172771157074
"DAN_004",1541.99443713077,2269.79296923707,28.0538879253774,37.971258423777,211.988548035139
"DAN_005",1700.84316575038,2347.08698801725,28.002892599762,38.6262539655868,219.476680184732
"DAN_006",1490.55915740335,1967.19269628471,27.9779652341093,37.2525609887099,182.407172176444
"DAN_007",1328.02052886699,1800.61582030129,28.0621705423971,37.9284686175237,167.658345236348
"DAN_008",1407.8326566093,1846.39240301112,28.0387807061616,38.0526092692321,172.632947924218
"DAN_009",1541.06906166237,2129.71180229483,28.0002607279462,38.790392666704,198.25432904029
"DAN_010",1597.18894731269,2324.84045564365,28.0712795176598,38.4368987378028,216.641340984039
"DAN_011",1793.36115869361,2453.60190263072,27.9861600623049,38.3719752181667,228.841920911406
"DAN_012",1692.12897540811,2463.94343592219,28.0370173097301,38.3355800721741,230.147047214935
"DAN_013",1157.75846460358,1430.0975326245,28.0219104586485,37.496257811134,132.511643478596
"DAN_014",1593.19475835779,2123.12209736379,27.9834738746587,37.9862555632349,198.391779894979
"DAN_015",1552.51366365876,2022.59825872494,27.9522030369877,37.8356238651999,188.211253221411
"DAN_016",1454.27126970392,1985.85475698467,28.0113157565494,37.8069662038797,183.799512500305
"DAN_017",1462.18733120342,2225.52415212866,28.1206963841453,38.1972759001623,207.271714802416
"DAN_018",1482.14332308058,1986.62661606996,27.9886807788838,38.2540318753704,185.763113795184
"DAN_019",1374.69210532375,1863.13410539846,28.0797478282183,38.0340972149834,173.455094800803
"DAN_020",1488.84539007707,1971.02683430044,27.9616999193319,38.2662243388304,182.727885101697
"DAN_021",1272.59069012931,1726.18657841941,28.1128051820578,38.2854402583399,161.220201898729
"DAN_022",1687.0051587877,2340.15600512553,28.0049880072866,38.3087691938853,218.367703430674
"DAN_023",1570.46348895089,2124.90851023434,27.9872688998729,38.6327390261503,196.820488389837
"DAN_024",1632.36114248272,2080.5904918068,27.9931206218277,38.069931332146,193.665450441191
"DAN_025",1636.26778654743,2333.58727172876,28.0282388258594,37.7018046692482,217.234288925195
"DAN_027",1660.47323232157,2425.66015078188,28.067484300017,37.8654084742589,225.960322434109
"DAN_028",1249.30573583269,1751.68943179732,28.1048872727726,38.062997369324,162.300775437085
"DAN_029",2180.50063550977,3045.40684552122,27.9774784780682,37.781076434673,283.074490293639
"DAN_030",1804.51226259778,2717.85128454989,28.0143188750005,38.0716550599961,253.514612675849
"DAN_031",1592.25220377938,2295.42966511476,28.0462970464667,37.6438320034943,213.908052372138
"DAN_032",1630.8700585558,2319.7036324568,28.0329846737288,37.7275139417986,216.635760903256
"DAN_033",1828.15386808378,2658.32520115559,27.9953067970472,37.2345656107595,247.473267841741
"DAN_037",1542.49848749016,1996.83516060098,27.958575989149,38.4692767666942,187.423765849889
"DAN_047",1676.63466300461,2138.71543387967,27.9406655017049,38.0066014806465,198.789364136319
"DAN_054",1600.20875814762,2229.20245772463,28.0171715566537,37.8237826897634,207.43149851572
"DAN_059",1421.40932979132,1953.40541033603,28.043519471663,37.9978006135768,181.326946883572
"DAZ_004",1545.30499786894,2090.76102423571,28.0017078910304,38.3917040435513,195.369043733664
"DAZ_005",1629.1745867014,2332.98779120619,28.0881127081412,38.2493684214573,216.542675548301
"DIACOL_CALIMA",1586.38975425423,2363.72296869564,28.0900007818778,38.6763020939459,219.653067165378
"DOR_364",1567.38930816189,2542.71833360593,28.119141641543,NA,237.063436609271
"DOR_390",1779.77640580221,2804.05487627648,28.078058823702,NA,262.563546405299
"DRK_149",1874.25802705506,2771.91519994475,28.0330088539278,38.4491701575178,257.613916029518
"G19833",817.784743354021,1019.79976245453,27.7334439172785,39.1230486998857,94.4226673400463
"G4523",1695.8611736881,2524.23475509267,28.0743931147328,38.9491497448691,235.241139231504
"ICA_CALIMA",1621.28851676768,2224.85937828595,27.9647950103267,37.8694249870496,206.954542728051
"KAT_B1",1681.98564609375,2466.07440657798,28.0432353434582,37.7207871279329,230.10959827918
"KAT_B9",1446.79435258951,1971.70607567636,27.9998792084678,37.9003958995742,183.148772378718
