"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW"
"DAB_549",2203.72055097516,1851.279348104,51.0331997885609,27.7007198304796,59.3746859557465,39.6600886685962,593.561898885329
"DAB_555",2255.40799742663,1729.31937270642,48.259215886301,27.1040918421223,58.9312621140519,39.3377573413782,565.957421195477
"DAB_568",2078.51192985687,1775.33250340874,51.8544918696414,30.3269978335296,63.7491544530488,43.6481749805679,581.230279495546
"DAB_569",2202.25432502992,1922.72425644382,52.4030062913028,30.4411843311052,66.0403182558626,45.5276409092494,592.270507243198
"DAB_570",2376.48240636181,1799.28328653696,48.4458646184073,31.576739412851,68.162585313555,47.604422901132,578.076579002549
"DAB_571",2345.11605154504,2195.38951348739,54.7721478739365,33.0189267810345,65.7488116044607,48.0918597806405,666.921581405513
"DAB_572",1695.54406357295,1521.57645365473,54.3734926377475,30.2085352761022,65.2331177382082,43.0594597873758,494.706827401722
"DAB_573",2056.74929908153,1656.92741744742,50.0423236228328,32.6115075389323,63.2074562255289,40.4364392302305,546.688285983325
"DAB_574",2240.00317098602,1841.91497389042,47.2455263870518,33.1361894239152,63.2351081849904,43.1612745911393,568.409534501906
"DAB_575",1968.03566998376,1560.07166914921,49.6131457963721,33.0805555668418,63.4341799178456,37.7143436728044,500.811432808545
"DAB_576",2336.00931802175,2132.94351674533,50.0890159912391,29.8822303398291,61.6420212575957,47.6179538581952,643.151422767382
"DAB_577",2322.19499627358,2037.88545958943,50.9386357753865,30.2698138791301,62.7527863782346,49.4190759852335,622.312797701094
"DAB_578",1872.47931204822,1415.1180199734,48.1938942295003,32.2279544426165,62.3459871110038,38.5513673462801,461.3697420978
"DAB_579",1867.3227286749,1576.91462768785,47.7088455253845,32.1149201775447,62.2108446205478,45.5439556836718,488.364768010127
"DAB_580",2306.22744839022,1651.54396249908,40.6501784627479,32.2882114828289,64.5322722569824,42.3977133923313,470.771113821434
"DAB_581",2303.32459312643,2003.47780719438,47.540344520336,32.1826385231004,63.325751476032,42.2762535456237,556.367389722994
"DAB_582",1617.59903375598,1276.14436261934,51.5248021755059,34.8156951973673,63.806719839445,37.7694416838483,429.658217289
"DAB_583",1901.56236358394,1637.90046904321,55.2832054661238,28.7213477931828,58.7927483757962,41.2381689715477,551.248667037876
"DAB_584",1868.73007201098,1522.67049782665,52.1225541527053,29.231642079422,62.0924111205123,40.0260702073166,526.566821443415
"DAB_585",2041.36501992278,1634.10189062443,49.428972581005,32.0260622954832,63.9140976095208,40.4096511773933,523.922862513867
"DAB_586",2296.79351827397,2067.47959163897,47.5225826328829,31.9503132614906,63.5327895684627,42.7893870090536,587.336405511737
"DAB_587",1987.70003267325,1890.13164535052,52.3297197685621,28.6005247575789,60.1483498560153,39.3701705385137,557.907798119197
"DAB_588",2478.72866094953,1592.78709947116,45.6601401178535,29.6536852327016,62.1439453076562,37.5295537311499,540.043578794175
"DAB_589",1954.04917187066,1574.81468931872,51.2544208530917,28.9715827941137,60.0432034311619,39.1597232967742,520.42788131346
"DAB_590",2061.71683042605,1741.4700599774,51.2721588873781,29.517975113753,59.8653346855181,39.7996886845277,550.206201613264
"DAB_591",2102.46508450447,1967.56940560718,52.4398229776509,28.7456716506425,60.5026845376127,41.8813980199205,599.747487283785
"DAB_592",2098.6949284787,1435.16980540964,43.8384007348243,30.2185019069139,62.7071623826077,39.786105371237,468.359943875908
"DAB_593",2296.42948259921,1974.31852333321,51.3993332823873,29.5750030935128,61.5025650306409,41.3089179972087,628.832631989055
"DAB_594",2463.45899609539,2202.76321708374,52.7423046338517,28.8174088301407,60.8410160021266,44.044608437292,687.351272551997
"DAB_596",2150.43705883522,2064.64031808469,53.7439587047805,29.3473982397222,60.9144032457546,40.779208967411,621.701153912072
"DAB_597",1874.46877183844,1788.08017192574,50.3279431116051,29.5540387504362,61.2553340236716,43.6147769285748,518.636743381424
"DAB_598",2204.98551187015,1791.58841265128,51.1818582709623,29.4704045172074,61.503744270386,42.4172882368978,589.377788109847
"DAB_600",2486.44895579721,1584.29741296056,41.7674366499889,31.0517186791144,68.1542152015497,45.6504756909175,510.886779236472
"DAB_602",1883.85060946611,1569.91749521851,52.2842415518548,31.3251142497398,63.4913074617351,47.8575166694953,519.828529823726
"DAB_603",1924.76086828606,1488.37647898643,48.3137306662125,32.1365681109907,63.5786833900279,39.2373643794847,493.143006055595
"DAB_604",2276.09865669795,2063.25159247128,53.2366546952208,29.0355173816454,62.7513602328268,44.9606842781963,628.537416031014
"DAB_605",2214.08694604116,1866.15925167488,53.7220413911966,30.1125625315028,62.2426825767995,43.890978278824,606.210693479723
"DAB_606",1846.54484955889,1612.92872656639,48.151444324324,32.242657947169,62.7104870150686,40.8970344104542,485.825219783731
"DAB_607",1989.35082483214,1482.8924312862,47.070902735289,31.3825329208122,63.9663519100745,45.931835824154,458.65927749657
"DAB_608",2135.30076204905,1834.38485100154,47.6549225087774,31.5543493487512,64.7282598837974,40.8449225440545,560.077683806994
"DAB_609",1976.39071034685,1260.51335981563,44.224730933871,31.7802580465836,64.1531993261459,38.5544667162759,432.96325158787
"DAB_610",2095.60799343698,1821.02764833657,47.921128892467,35.9937963427481,67.6742995144387,40.4835064094796,552.674239803875
"DAB_612",2084.16635805481,1837.67625427834,46.2474962076171,31.127251632452,62.7042328523063,42.7724726580779,518.151684151413
"DAB_613",2101.44124906083,1819.84132406735,45.1433937127571,30.4524204398523,60.203978980876,40.104459857939,522.272418490547
"DAB_614",2661.8077721331,2099.9204763624,48.8759342293439,27.5866199141457,61.1272608067301,40.0925075640414,653.828951582864
