"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW","POM","PHI"
"DAA_008",2177.57442961558,2670.20915314168,27.0432530713241,41.8871121474391,80.9245438478583,53.858420747603,313.988589276023,11.5852953183376,75.8353124071335
"DAA_009",2175.35299000421,2829.69440835189,27.3991569069537,39.8257717958726,80.2559708938344,52.9887157996508,327.674030552073,11.5842618947408,77.4984487804258
"DAA_010",2094.39731166499,2773.15271734261,27.7819003620235,39.9264487703394,81.0053181248898,55.928824845094,324.794661868536,11.5895575780033,70.9941796081426
"DAA_011",1747.95026480831,2219.18634831517,27.5680699368865,40.0683857695607,80.3107786209009,52.2682286839482,262.442995842363,11.5854739345274,78.576190092119
"DAA_012",2055.50086965152,2917.22848138127,28.1512487095637,42.9052018222413,82.3026099419809,59.306435166926,338.54255893747,11.5905427819223,73.8326471729461
"DAA_013",2016.48007522208,2463.14315470425,27.3668171799675,39.7041670193456,80.7695851547481,53.1622197155408,286.672492105958,11.5975868855015,77.8115817738837
"DAA_014",2098.43100877609,2607.2074040126,27.1992579812917,38.8489745581475,79.7536353054862,64.4421008520358,307.4961841398,11.5896773386185,79.1823900149981
"DAA_015",2048.96368737406,2712.50498866548,27.7203371886813,39.1794053143788,79.8847404900877,53.148628885173,317.596463733182,11.5898899828704,78.1334147628957
"DAA_016",2090.9759663634,2672.46941135889,27.5481395452128,41.264921830677,81.8989142440481,47.7577304818876,315.802952282655,11.5902995244043,75.1035151943274
"DAA_017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_018",1936.72401066204,2345.22338712265,27.1850825933488,43.0735081076793,82.4973768981111,56.8477917471072,277.179498990303,11.5880367443353,74.8703731899266
"DAA_019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_021",2119.82864466508,2580.9074393392,27.2976633456848,41.9720406020891,81.664592060238,69.4646246829385,301.866795095979,11.5873636939213,75.8055763230557
"DAA_022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_023",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_024",2094.72171239272,2599.13833854918,27.2627736169942,40.024557146317,80.9613224279233,57.6358024790663,304.127413937246,11.5851210992372,79.878879941845
"DAA_025",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_026",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_027",1880.76458785833,2115.22568388435,26.637284067154,41.8129513990803,82.35710185847,56.1911086706092,246.540497902921,11.5908218675596,74.5857140741849
"DAA_028",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_029",2314.35580692948,2902.55387484793,27.117386830931,42.2108369124748,81.9107789258053,64.6987607821781,336.795198426066,11.5911191752871,76.8937099017176
"DAA_030",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_031",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_032",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_033",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_034",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_035",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_036",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_037",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_038",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_039",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_040",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_041",1998.36108312435,2686.2527455707,27.7760068785643,41.7625876546458,80.868115014243,60.8239420637677,313.378489289736,11.5797973972252,75.7084132662235
"DAA_042",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_043",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_044",2042.22289386287,2779.10398518954,27.8456921079629,39.0614891479423,81.1413543345106,59.6182441660386,327.962293590016,11.5920635031212,78.9211590880921
"DAA_045",1915.88416115491,2566.17135980907,27.8048153017322,39.8372077850301,80.3407456503834,66.4975914820985,298.541623349798,11.5912379988549,77.1497478688122
"DAA_046",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_047",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_048",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_049",2078.45667711541,2769.94787253781,27.7330081173358,40.5764210568924,80.575142470113,55.5715878923046,320.508248776231,11.5831688935579,73.8868147362504
"DAA_050",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_051",2017.80126676134,2579.98467807904,27.3722171218252,39.967340348333,80.4879883465426,64.6660183948238,300.68898966269,11.584633192708,77.1744353177681
"DAA_052",1762.09266076585,2279.40713495545,27.7520900868952,40.7124483956101,81.217663123543,62.2167488484203,269.754621147701,11.5883036039882,76.147699337883
"DAA_053",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_054",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_055",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_056",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_057",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_058",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_059",2105.01776077405,2807.20576450041,27.7306250380469,39.6118071252083,81.1230591659566,54.780419008221,334.623906392678,11.5913986537494,76.6837250420372
"DAA_060",1823.93414837285,2323.08301611765,27.2061767157163,40.1329421055108,81.7117580285533,56.1921978737018,268.550242026648,11.5902092655384,76.8806053904376
"DAA_061",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_062",2300.68836661191,2991.77755768779,27.4768256532954,41.0786201876238,81.2505353559839,66.5916866569773,350.487537577288,11.5899210302433,77.560312730114
"DAA_063",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_064",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_065",2388.79472509207,2927.36594957364,26.9545810291064,39.4193695603287,80.2207293011509,58.2336810393716,340.363141269119,11.5872938989683,80.6963707271217
"DAA_066",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_067",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_068",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_069",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_070",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_071",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_072",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_073",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_074",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_075",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_076",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_077",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_078",2144.66899047092,2927.29702265055,27.7624740254116,41.7861528355764,80.9271970181709,55.8388636672388,338.502748327942,11.5880680855739,78.3879988088951
"DAA_079",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_080",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_081",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_082",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_083",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_084",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_085",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_086",1895.90196696032,2284.20926748317,27.2747620771611,40.2447491285221,80.9986671063373,54.8538126806232,270.362075446291,11.5932659293578,76.174854981682
"DAA_087",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_088",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_089",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_090",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_091",2011.72709180197,2577.65102050192,27.5097691527335,39.628800382407,80.5554847832311,56.0595354757075,300.534760883162,11.585921639849,75.7284688989938
"DAA_092",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_093",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_094",1880.29777721439,2288.92687747551,27.2255002929616,44.0076830917588,82.5389518639907,61.7615383006129,269.32804602552,11.5843855418712,76.5294205348503
