"line","YDHPL","YDHA","PLHA","SW100","TSW","POM"
"DAA_173",667.384199881535,773.296910479012,30.9818322462305,24.1120041039668,114.258400113738,10.8253353879493
"DAA_175",773.06137216028,853.167769217025,34.3983833574708,23.3116925118387,153.99482555092,12.1044553911799
"DAB_049",961.175460839595,1175.4586177016,39.1307699090424,19.9548721433671,243.875714063115,13.9022344054507
"DAB_052",760.7719857641,969.110971918547,35.645288865417,19.5606839646194,170.680611375541,12.9327683017655
"DAB_053",801.401559957656,754.926879497178,28.9504878323218,27.0583189654331,127.753829332223,10.8411239198226
"DAB_062",803.068119837257,813.417808492329,27.9378579882982,22.8285114189616,132.881555989059,11.0692430822174
"DAB_064",623.399106936417,687.196262731207,31.1006946376008,23.7390484198663,103.247070550127,9.48287253539864
"DAB_065",644.373870208817,656.662008149931,28.6965801926188,25.5402102942756,106.612046786113,10.1630395234448
"DAB_066",668.057425150317,653.489053881557,23.2327494877898,24.5516090990505,85.9091640906773,8.77122428626354
"DAB_084",767.521308728355,920.129912659677,29.7902660338527,21.3971940072755,126.613275495863,11.2271840804706
"DAB_090",450.346562220677,701.676008050647,29.2570811041157,19.2722581736859,63.843289687961,5.80962924452969
"DAB_105",915.990918123633,967.030581931924,26.6518856892409,23.1108425199029,144.350406431954,10.1129779821661
"DAB_106",848.655273778684,890.779308327542,22.3141216256666,22.6017090082443,105.889535143325,9.55895398566282
"DAB_109",678.140544700349,745.421529675828,30.5344651519344,23.3125406202312,116.625730630785,10.3111159315228
"DAB_150",638.618341430027,723.858687389629,28.3838505251101,21.9021011305807,97.3916899911111,9.19806233556635
"DAB_187",733.714037938586,966.024476231486,36.5349519559241,18.9128063038847,147.763379684102,11.6608555773369
"DAB_231",844.736283652427,882.216220351529,30.2902820740965,24.2182007822411,151.168987348771,13.3957904609558
"DAB_233",854.969271359041,951.521644236788,33.4597128429398,25.7747406650192,173.40659064971,13.5724131028857
"DAB_236",893.352915153557,987.205289107894,32.1204929818742,26.2959710036998,160.289875940487,12.0830859457307
"DAB_244",1134.90628726036,1153.16415880983,21.9773720338952,25.7613626755124,131.190461355436,10.2358087380294
"DAB_251",966.5239828535,891.890604728096,22.8440003168048,24.1382339852493,117.117991947335,8.82194604835263
"DAB_252",674.287084316594,969.886215771416,12.9845914437694,21.664722326869,42.9076207285782,3.79166043183972
"DAB_256",853.640076879861,936.430939719595,28.0247031954347,26.7388037120812,145.476866489984,11.8569452091041
